,doc_length
0,2341
1,1937
2,653
3,2491
4,1036
5,5886
6,831
7,151
8,1351
9,3144
10,1640
11,2560
12,509
13,786
14,775
15,2726
16,2750
17,4082
18,1720
19,3931
20,2433
21,2937
22,2857
23,5933
24,1640
25,4735
26,5482
27,4791
28,726
29,1457
30,4774
31,3241
32,1761
33,4091
34,548
35,3180
36,1223
37,2799
38,944
39,966
40,655
41,1621
42,1390
43,1823
44,556
45,1672
46,541
47,2875
48,1761
49,760
50,3578
51,1441
52,5972
53,1446
54,3018
55,3971
56,1434
57,2401
58,2554
59,2936
60,2451
61,1898
62,4850
63,3812
64,1512
65,2938
66,433
67,652
68,3148
69,6231
70,2527
71,1542
72,2280
73,2003
74,3656
75,2972
76,3369
77,1578
78,3194
79,4642
80,2817
81,5022
82,2340
83,4073
84,4183
85,3902
86,3144
87,535
88,3569
89,5
90,475
91,1595
92,2579
93,347
94,869
95,966
96,3877
97,2446
98,2715
99,4421
100,1587
101,1101
102,2884
103,2332
104,1036
105,2403
106,2687
107,4242
108,5098
109,313
110,863
111,3717
112,2936
113,3226
114,1794
115,4169
116,2727
117,4601
118,174
119,6924
120,857
121,461
122,2451
123,3637
124,3144
125,2672
126,975
127,1659
128,433
129,508
130,830
131,3605
132,947
133,2926
134,2127
135,2216
136,2937
137,2015
138,1672
139,2294
140,1640
141,1508
142,517
143,2596
144,2217
145,785
146,1117
147,3226
148,2820
149,1174
150,2875
151,2446
152,2723
153,1639
154,1340
155,151
156,517
157,435
158,708
159,525
160,4022
161,1800
162,785
163,3523
164,2077
165,2867
166,6444
167,175
168,1905
169,2857
170,3842
171,3869
172,4850
173,1223
174,4818
175,2374
176,1246
177,2340
178,1286
179,719
180,3335
181,1358
182,3312
183,683
184,3640
185,2439
186,692
187,3216
188,4774
189,975
190,2857
191,1777
192,1427
193,2727
194,2306
195,2105
196,3926
197,2162
198,4042
199,2672
200,3632
201,1611
202,2799
203,560
204,1457
205,5390
206,432
207,2344
208,4066
209,3656
210,347
211,4076
212,9628
213,3546
214,3452
215,4623
216,3148
217,632
218,3335
219,3190
220,2403
221,2076
222,725
223,3095
224,1392
225,1395
226,5299
227,4696
228,2886
229,805
230,3148
231,2739
232,618
233,1006
234,5286
235,830
236,1388
237,4875
238,548
239,3311
240,5719
241,863
242,3869
243,2314
244,1672
245,1246
246,3256
247,6924
248,3458
249,2596
250,153
251,3154
252,934
253,2003
254,1253
255,2671
256,4014
257,3812
258,3065
259,2256
260,1092
261,1334
262,2116
263,1347
264,2339
265,1772
266,2422
267,708
268,4623
269,2361
270,1714
271,6003
272,622
273,865
274,863
275,1408
276,1719
277,1256
278,1508
279,782
280,2366
281,4269
282,2581
283,1697
284,1446
285,4251
286,3135
287,1508
288,1563
289,3846
290,2368
291,1799
292,865
293,1775
294,2867
295,3452
296,1491
297,1417
298,1019
299,3546
300,2742
301,531
302,4941
303,2361
304,3644
305,3512
306,2761
307,3902
308,1227
309,1456
310,3065
311,548
312,1310
313,968
314,4405
315,1720
316,1672
317,703
318,674
319,1514
320,3625
321,5022
322,869
323,1441
324,6444
325,2340
326,1256
327,2886
328,4091
329,2583
330,14668
331,4116
332,4971
333,1803
334,1042
335,2919
336,4742
337,2271
338,2019
339,1585
340,2332
341,1117
342,2359
343,812
344,383
345,1289
346,5286
347,1714
348,978
349,2037
350,3676
351,1369
352,4022
353,3107
354,2837
355,1227
356,785
357,3200
358,3655
359,5886
360,2333
361,1550
362,790
363,3107
364,1051
365,2835
366,2000
367,3235
368,3824
369,3318
370,2451
371,742
372,970
373,3751
374,1900
375,2886
376,2405
377,970
378,4941
379,2690
380,4275
381,879
382,1784
383,2674
384,4117
385,2761
386,2583
387,668
388,674
389,2690
390,884
391,1256
392,735
393,2406
394,2141
395,1672
396,1256
397,2690
398,313
399,1970
400,966
401,1075
402,1784
403,2965
404,1796
405,3429
406,1148
407,6176
408,4042
409,2000
410,1749
411,5972
412,624
413,3827
414,3112
415,4076
416,2193
417,201
418,3970
419,2635
420,1840
421,2624
422,622
423,1347
424,3241
425,4774
426,884
427,1458
428,1672
429,517
430,3812
431,3942
432,2665
433,1211
434,683
435,4791
436,2715
437,1200
438,2306
439,1925
440,2528
441,4042
442,1342
443,2154
444,3688
445,4822
446,3164
447,3754
448,1253
449,4331
450,1256
451,3951
452,3931
453,2823
454,1408
455,968
456,1772
457,1102
458,4283
459,2590
460,404
461,541
462,2581
463,1073
464,1361
465,3376
466,2972
467,4636
468,2848
469,2518
470,2583
471,1306
472,1661
473,3592
474,1395
475,1018
476,2105
477,2780
478,1251
479,1693
480,1938
481,4128
482,2886
483,869
484,1117
485,531
486,1256
487,2483
488,404
489,4599
490,3144
491,1255
492,201
493,1227
494,517
495,2938
496,2368
497,737
498,3653
499,3099
500,2512
501,4298
502,4818
503,3653
504,3016
505,1222
506,2837
507,653
508,3130
509,2926
510,3676
511,3676
512,6026
513,667
514,2239
515,2467
516,3016
517,2341
518,1220
519,4833
520,1351
521,7248
522,1500
523,2294
524,435
525,911
526,2294
527,2190
528,1006
529,2781
530,1729
531,3247
532,1411
533,1273
534,760
535,3148
