file1,file2,text_score
030083.json,060548.json,0
048643.json,108021.json,1
037171.json,040760.json,0
007727.json,007586.json,2
008090.json,117566.json,0
045727.json,038426.json,0
111411.json,040382.json,0
051511.json,032302.json,0
052845.json,053464.json,0
079302.json,098130.json,0
081761.json,113009.json,0
049277.json,068350.json,0
095912.json,057371.json,0
036720.json,082216.json,0
045627.json,035344.json,0
000409.json,076898.json,0
102356.json,034211.json,0
067462.json,075072.json,0
019916.json,108780.json,0
079225.json,022645.json,0
115870.json,055474.json,0
058828.json,073313.json,0
040878.json,064587.json,0
097630.json,117427.json,0
078806.json,046008.json,0
045122.json,025832.json,0
080320.json,073367.json,0
057429.json,032964.json,0
088801.json,009988.json,2
066274.json,069645.json,0
051819.json,040582.json,0
018625.json,094442.json,0
093874.json,001416.json,0
042551.json,038288.json,
108472.json,072417.json,
119225.json,057559.json,
068503.json,105114.json,
038105.json,061399.json,
016714.json,013283.json,
043048.json,090996.json,
012392.json,088960.json,
019017.json,119284.json,
037063.json,023686.json,
075270.json,120611.json,
094638.json,067245.json,
001553.json,103089.json,
016121.json,109863.json,
049290.json,063796.json,
105860.json,049047.json,
018393.json,072646.json,
024078.json,110626.json,
089789.json,045581.json,
076544.json,096219.json,
070748.json,104874.json,
102432.json,081919.json,
083787.json,101119.json,
043591.json,119070.json,
012037.json,008959.json,
050066.json,110979.json,
097623.json,097309.json,
057299.json,111320.json,
027559.json,034756.json,
046740.json,105545.json,
005009.json,121085.json,
053382.json,074519.json,
019626.json,060731.json,
046388.json,096674.json,
020367.json,054506.json,
025537.json,086857.json,
012167.json,070813.json,
079948.json,096513.json,
012521.json,006814.json,
008142.json,010150.json,
057922.json,118578.json,
046017.json,064323.json,
091753.json,024643.json,
058918.json,041375.json,
028342.json,039143.json,
091097.json,038312.json,
098910.json,034138.json,
077935.json,083335.json,
119884.json,007611.json,
083616.json,064379.json,
060092.json,075586.json,
097105.json,067167.json,
037625.json,085430.json,
107793.json,024711.json,
100012.json,042720.json,
118301.json,047421.json,
098906.json,024030.json,
038768.json,027641.json,
120039.json,041869.json,
060313.json,040151.json,
072651.json,091068.json,
014810.json,067994.json,
067516.json,025736.json,
114910.json,006552.json,
075952.json,097875.json,
022656.json,046483.json,
007395.json,009155.json,
055008.json,110215.json,
112720.json,005476.json,
053355.json,078064.json,
042113.json,000313.json,
118087.json,082483.json,
005475.json,036364.json,
089962.json,115589.json,
119022.json,034422.json,
097214.json,114953.json,
119368.json,110773.json,
047524.json,001323.json,
088336.json,115355.json,
019873.json,027236.json,
119975.json,009174.json,
068229.json,089079.json,
038431.json,006266.json,
056421.json,074600.json,
092720.json,072769.json,
120765.json,061599.json,
041988.json,073005.json,
079459.json,023619.json,
017850.json,032756.json,
046449.json,051008.json,
092414.json,045495.json,
018745.json,011589.json,
079769.json,056025.json,
083768.json,004208.json,
044953.json,115944.json,
005519.json,011886.json,
071675.json,034537.json,
070952.json,038845.json,
041933.json,074315.json,
052189.json,110354.json,
118114.json,022822.json,
091956.json,020489.json,
052327.json,102482.json,
047984.json,083785.json,
037766.json,036186.json,
050395.json,073176.json,
015595.json,006407.json,
062362.json,001438.json,
070587.json,083135.json,
039264.json,088624.json,
006248.json,006397.json,
052460.json,045660.json,
049846.json,109139.json,
038578.json,021138.json,
033818.json,109285.json,
077572.json,100392.json,
016982.json,083767.json,
043755.json,012792.json,
092195.json,077267.json,
027658.json,076870.json,
070968.json,041593.json,
012692.json,074311.json,
040824.json,059221.json,
041824.json,094658.json,
007863.json,095071.json,
116251.json,027824.json,
060097.json,032244.json,
030564.json,073240.json,
039673.json,031447.json,
080617.json,083341.json,
103282.json,029838.json,
057357.json,002136.json,
011426.json,118365.json,
107670.json,012162.json,
075274.json,008266.json,
098467.json,047064.json,
071601.json,051486.json,
054212.json,100647.json,
106234.json,102916.json,
118932.json,094337.json,
031799.json,033684.json,
060258.json,096002.json,
042361.json,120907.json,
116112.json,082389.json,
086271.json,106915.json,
052445.json,070814.json,
077029.json,000660.json,
107569.json,104183.json,
068534.json,106779.json,
035649.json,110737.json,
094532.json,105837.json,
026953.json,011478.json,
032972.json,085142.json,
041588.json,012244.json,
032567.json,106772.json,
097769.json,094659.json,
065322.json,003395.json,
033981.json,051161.json,
072013.json,081073.json,
110539.json,072467.json,
117035.json,034947.json,
036861.json,089384.json,
068109.json,013382.json,
017134.json,046315.json,
099171.json,118474.json,
088021.json,066545.json,
108094.json,035577.json,
024475.json,080445.json,
068126.json,069213.json,
071437.json,076187.json,
050051.json,025296.json,
105363.json,043966.json,
077898.json,041269.json,
113843.json,101305.json,
071033.json,112119.json,
117488.json,054688.json,
115937.json,034832.json,
089402.json,026083.json,
016340.json,088455.json,
018475.json,005010.json,
045191.json,119891.json,
112137.json,099870.json,
113399.json,093014.json,
070664.json,046071.json,
102120.json,034581.json,
000545.json,037678.json,
041387.json,074849.json,
097259.json,086650.json,
109581.json,077113.json,
059910.json,041859.json,
112949.json,004312.json,
111903.json,025058.json,
081333.json,074416.json,
017089.json,083837.json,
097222.json,056059.json,
119959.json,027205.json,
049497.json,103079.json,
085368.json,045905.json,
011863.json,060683.json,
090848.json,059655.json,
099525.json,010367.json,
094440.json,104201.json,
118195.json,029370.json,
011596.json,065504.json,
034972.json,047510.json,
053439.json,097028.json,
015807.json,120633.json,
112887.json,060192.json,
087454.json,080438.json,
021793.json,051933.json,
075282.json,054918.json,
032212.json,074386.json,
001512.json,118441.json,
118037.json,010426.json,
093341.json,071401.json,
073204.json,108869.json,
